country,code,life,GDP
Afghanistan,AFG,36.70282927,157.2584608
Arab World,ARB,52.47894481,254.58082
Argentina,ARG,66.59082927,1317.4875
Australia,AUS,71.01853659,3297.783659
Austria,AUT,69.91463415,2053.809514
Burundi,BDI,43.78192683,70.21250721
Belgium,BEL,70.97195122,2780.69881
Benin,BEN,42.35,114.7366636
Burkina Faso,BFA,39.09687805,81.49993123
Bangladesh,BGD,47.52541463,138.245986
"Bahamas, The",BHS,65.86385366,3179.238808
Belize,BLZ,65.54626829,435.7011786
Bermuda,BMU,70.29,3387.272727
Bolivia,BOL,45.65556098,225.748499
Brazil,BRA,59.15058537,440.9931063
Brunei Darussalam,BRN,66.96519512,1380.416864
Botswana,BWA,54.44346341,138.8750098
Central African Republic,CAF,41.93541463,103.4097966
Canada,CAN,72.7004878,4121.932809
Chile,CHL,62.76814634,939.263297
China,CHN,58.68080488,111.8227227
Cote d'Ivoire,CIV,43.74343902,277.6624712
Cameroon,CMR,46.07639024,171.3200388
"Congo, Rep.",COG,53.35953659,205.9491868
Colombia,COL,60.87319512,326.2909045
Costa Rica,CRI,66.46260976,532.66512
Caribbean small states,CSS,65.68847665,767.9045968
Cuba,CUB,69.88309756,653.2329198
Germany,DEU,70.63978049,2750.719742
Denmark,DNK,73.34341463,3421.989912
Dominican Republic,DOM,58.53968293,329.8606475
Algeria,DZA,50.34363415,334.2595552
East Asia & Pacific (excluding high income),EAP,58.0829063,113.2106223
Early-demographic dividend,EAR,50.9788403,224.8174162
East Asia & Pacific,EAS,59.64046497,314.011786
Europe & Central Asia,ECS,69.00870983,1365.476799
Ecuador,ECU,57.77012195,471.3865364
"Egypt, Arab Rep.",EGY,52.1224878,220.7067235
Euro area,EMU,71.15697158,2231.870907
Spain,ESP,72.02731707,1208.996662
European Union,EUU,70.99791646,1933.939106
Finland,FIN,70.1795122,2467.476347
Fiji,FJI,59.9062439,422.4135104
France,FRA,71.65853659,2862.469268
Gabon,GAB,46.65526829,548.7070836
United Kingdom,GBR,71.97317073,2347.544318
Ghana,GHA,49.33497561,257.6520315
"Gambia, The",GMB,37.87056098,116.9211366
Guinea-Bissau,GNB,41.52168293,110.6076115
Equatorial Guinea,GNQ,39.73114634,228.0174922
Greece,GRC,70.90363415,1494.387855
Guatemala,GTM,52.05314634,351.0723194
Guyana,GUY,61.81334146,385.0129608
High income,HIC,70.56432975,2793.35243
"Hong Kong SAR, China",HKG,71.45243902,960.0319615
Honduras,HND,52.51514634,268.6425082
Heavily indebted poor countries (HIPC),HPC,43.66287382,137.6604355
IBRD only,IBD,56.81771004,226.5700485
IDA & IBRD total,IBT,55.10071902,212.4388471
IDA total,IDA,47.84701002,161.7634612
IDA blend,IDB,52.14677407,194.199902
Indonesia,IDN,54.53146341,84.09246685
IDA only,IDX,45.21788115,144.7337359
India,IND,47.72707317,114.6637038
Ireland,IRL,70.99621951,1488.18458
"Iran, Islamic Rep.",IRN,50.86397561,384.9421659
Iraq,IRQ,58.18768293,330.8852351
Iceland,ISL,73.93390244,2597.387272
Israel,ISR,71.21341463,1806.422695
Italy,ITA,71.55878049,2099.914303
Jamaica,JAM,68.25180488,751.5893076
Jordan,JOR,60.19021951,386.4707063
Japan,JPN,71.9502439,2003.647047
Kenya,KEN,52.23302439,142.4974185
Cambodia,KHM,41.57119512,102.3045029
Kiribati,KIR,54.35112195,279.3083282
"Korea, Rep.",KOR,62.03585366,291.8590112
Kuwait,KWT,66.19912195,3830.578541
Latin America & Caribbean (excluding high income),LAC,60.11141385,581.5126352
Liberia,LBR,39.30214634,227.5785925
Latin America & Caribbean,LCN,60.42059443,611.5276323
Sri Lanka,LKA,64.28168293,183.5121135
Lower middle income,LMC,50.91988015,146.7214446
Low & middle income,LMY,54.9334141,207.7073353
Lesotho,LSO,48.90821951,66.59170854
Late-demographic dividend,LTE,60.52949258,238.3752046
Luxembourg,LUX,69.98346341,4493.890508
Morocco,MAR,52.53729268,245.4834836
Madagascar,MDG,44.78241463,169.0706629
Middle East & North Africa,MEA,52.93197103,286.7023561
Mexico,MEX,61.3502439,683.1022062
Middle income,MIC,55.79077509,215.6709594
Mali,MLI,32.393,60.47566223
Malta,MLT,70.44331707,828.4448343
Mauritania,MRT,49.10695122,182.2149847
Malawi,MWI,40.50931707,63.10525342
Malaysia,MYS,64.46321951,354.2305146
North America,NAC,70.9854796,5140.490459
New Caledonia,NCL,63.02926829,3203.711446
Niger,NER,36.26631707,144.5108561
Nigeria,NGA,41.18102439,223.5068045
Nicaragua,NIC,53.64365854,324.6618415
Netherlands,NLD,73.58560976,2889.714799
