country,code,life,GDP
Euro area,EMU,80.74665821,37604.26628
Eritrea,ERI,61.46614634,451.4266933
Spain,ESP,81.62682927,30737.83227
Estonia,EST,75.42926829,14641.40314
Ethiopia,ETH,61.29612195,341.8589562
European Union,EUU,79.72474907,33595.65566
Fragile and conflict affected situations,FCS,60.3684597,1458.959278
Finland,FIN,79.87073171,46205.16601
Fiji,FJI,69.38436585,3651.958291
France,FRA,81.66341463,40705.76623
Faroe Islands,FRO,80.63902439,47381.52276
"Micronesia, Fed. Sts.",FSM,68.61226829,2838.448547
Gabon,GAB,62.12082927,9312.049463
United Kingdom,GBR,80.40243902,38292.87113
Georgia,GEO,74.00243902,2964.477048
Ghana,GHA,60.60997561,1323.099141
Guinea,GIN,56.30504878,430.0564739
"Gambia, The",GMB,59.34060976,562.5681661
Guinea-Bissau,GNB,53.81436585,518.5983608
Equatorial Guinea,GNQ,55.971,17441.09255
Greece,GRC,80.38780488,26919.36164
Grenada,GRD,72.5675122,7365.666659
Greenland,GRL,70.85707317,40193.66603
Guatemala,GTM,70.77546341,2805.951416
Guyana,GUY,66.04270732,2998.941274
High income,HIC,79.86008217,38982.64208
"Hong Kong SAR, China",HKG,82.97804878,32549.99823
Honduras,HND,72.39397561,2110.822021
Heavily indebted poor countries (HIPC),HPC,58.64852064,736.9360275
Croatia,HRV,76.47560976,13509.18582
Haiti,HTI,61.24012195,662.2795182
Hungary,HUN,74.20731707,13009.34538
IBRD only,IBD,71.02518374,4568.707442
IDA & IBRD total,IBT,68.68212184,3684.231052
IDA total,IDA,61.77331167,1078.391755
IDA blend,IDB,62.24015189,1610.661436
Indonesia,IDN,68.14719512,3125.219934
IDA only,IDX,61.51034059,773.2643866
India,IND,66.50614634,1387.880084
Ireland,IRL,80.74390244,48260.66536
"Iran, Islamic Rep.",IRN,73.98317073,6299.918738
Iraq,IRQ,68.49012195,4487.366289
Iceland,ISL,81.89756098,41620.06745
Israel,ISR,81.60243902,30736.36389
Italy,ITA,82.03658537,35851.50807
Jamaica,JAM,74.8474878,4902.034731
Jordan,JOR,73.43582927,4054.270668
Japan,JPN,82.84268293,42935.25272
Kazakhstan,KAZ,68.29536585,9070.649972
Kenya,KEN,58.71860976,991.8505451
Kyrgyz Republic,KGZ,69.3,880.0377751
Cambodia,KHM,66.38565854,782.6927899
Kiribati,KIR,65.30278049,1465.504574
"Korea, Rep.",KOR,80.55121951,22151.20889
Kosovo,KSV,69.9,3283.211938
Kuwait,KWT,74.11663415,37725.14121
Latin America & Caribbean (excluding high income),LAC,73.81858977,8613.34158
Lao PDR,LAO,64.33363415,1147.095387
Lebanon,LBN,78.46536585,8763.795964
Liberia,LBR,59.44129268,326.6044381
Libya,LBY,71.73739024,11933.77926
St. Lucia,LCA,74.47109756,7043.506936
Latin America & Caribbean,LCN,74.03896568,8912.091571
Least developed countries: UN classification,LDC,61.34570629,800.601205
Low income,LIC,58.95818996,519.299915
Liechtenstein,LIE,81.84146341,140101.9673
Sri Lanka,LKA,74.3392439,2819.651309
Lower middle income,LMC,66.07654497,1692.363153
Low & middle income,LMY,68.61049756,3573.133831
Lesotho,LSO,47.48341463,1087.98277
Late-demographic dividend,LTE,74.22661424,6159.51728
Lithuania,LTU,73.26829268,11988.75797
Luxembourg,LUX,80.63170732,103267.2765
Latvia,LVA,73.48292683,11319.517
"Macao SAR, China",MAC,79.69039024,52604.32713
Morocco,MAR,72.57692683,2857.673414
Moldova,MDA,69.70926829,1631.535832
Madagascar,MDG,63.36173171,414.1427872
Maldives,MDV,76.2004878,6330.79498
Middle East & North Africa,MEA,72.06995588,7116.032031
Mexico,MEX,76.02678049,8861.49372
Middle income,MIC,69.64187736,3899.358593
"Macedonia, FYR",MKD,74.72263415,4561.177546
Mali,MLI,56.17980488,704.0646209
Malta,MLT,81.39756098,19694.08316
Middle East & North Africa (excluding high income),MNA,71.4855002,4106.108526
Montenegro,MNE,75.04529268,6682.281158
Mongolia,MNG,67.60382927,2650.346885
Mozambique,MOZ,53.22690244,417.5012315
Mauritania,MRT,62.00617073,1207.827458
Mauritius,MUS,72.96731707,7772.100057
Malawi,MWI,56.8362439,471.2077524
Malaysia,MYS,74.15778049,9069.041757
North America,NAC,78.8259382,48289.71759
Namibia,NAM,62.48029268,5143.130676
Niger,NER,58.259,351.0062183
Nigeria,NGA,51.3295122,2314.963537
Nicaragua,NIC,73.58173171,1523.481469
Netherlands,NLD,80.70243902,50341.25192
Norway,NOR,80.99756098,87646.2701
Nepal,NPL,67.9714878,595.4275198
New Zealand,NZL,80.70243902,33692.1696
OECD members,OED,79.39531902,35635.75993
Oman,OMN,76.05280488,19920.64957
Other small states,OSS,65.18224933,12047.89984
Pakistan,PAK,65.16256098,1043.300205
Panama,PAN,76.86363415,7987.060372
Peru,PER,73.63980488,5056.295313
Philippines,PHL,67.78331707,2145.240007
Papua New Guinea,PNG,61.99482927,1418.923591
Poland,POL,76.24634146,12597.45879
Pre-demographic dividend,PRE,56.36648009,1361.163285
Puerto Rico,PRI,78.41163415,26435.73308
Portugal,PRT,79.02682927,22539.99601
Paraguay,PRY,72.30129268,3225.591754
Pacific island small states,PSS,69.14002509,2925.708101
Post-demographic dividend,PST,79.7133518,39218.20479
Qatar,QAT,77.8255122,70870.22658
Romania,ROU,73.45853659,8297.483621
Russian Federation,RUS,68.85609756,10674.9972
Rwanda,RWA,61.40178049,553.5974576
South Asia,SAS,66.69295483,1285.524399
Saudi Arabia,SAU,73.70160976,18753.98123
Sudan,SDN,62.04258537,1421.532942
Senegal,SEN,64.01443902,998.1196955
Singapore,SGP,81.54146341,46569.67951
Solomon Islands,SLB,67.06565854,1276.348513
Sierra Leone,SLE,48.22895122,453.0220407
El Salvador,SLV,71.67060976,3547.070983
Serbia,SRB,74.33658537,5411.877404
Sub-Saharan Africa (excluding high income),SSA,56.3348071,1550.223691
South Sudan,SSD,53.66490244,1563.904195
Sub-Saharan Africa,SSF,56.33653953,1551.17433
Small states,SST,66.77690299,10816.64681
Sao Tome and Principe,STP,65.85468293,1142.182311
Suriname,SUR,70.36273171,8430.905965
Slovak Republic,SVK,75.11219512,16554.8788
Slovenia,SVN,79.42195122,23438.84716
Sweden,SWE,81.45121951,52076.43052
Swaziland,SWZ,48.3457561,2956.696795
Seychelles,SYC,73.19756098,10804.68447
Chad,TCD,49.86207317,895.8779959
East Asia & Pacific (IDA & IBRD countries),TEA,73.31338999,4024.736324
Europe & Central Asia (IDA & IBRD countries),TEC,71.13300129,8135.574487
Togo,TGO,57.28156098,496.4824942
Thailand,THA,73.69436585,5111.909202
Tajikistan,TJK,68.56339024,744.1898922
Turkmenistan,TKM,65.0212439,4479.012354
Latin America & the Caribbean (IDA & IBRD countries),TLA,73.91387068,8828.794918
Middle East & North Africa (IDA & IBRD countries),TMN,71.47702788,4126.668664
Timor-Leste,TLS,67.30839024,875.8365693
Tonga,TON,72.18260976,3557.737184
South Asia (IDA & IBRD),TSA,66.69295483,1285.524399
Sub-Saharan Africa (IDA & IBRD countries),TSS,56.33653953,1551.17433
Trinidad and Tobago,TTO,69.79756098,15840.44269
Tunisia,TUN,74.60243902,4176.59159
Turkey,TUR,74.09092683,10111.5177
Tanzania,TZA,61.62560976,708.5219323
Uganda,UGA,55.83665854,608.8130239
Ukraine,UKR,70.26536585,2973.996481
Upper middle income,UMC,73.5303191,6307.44311
Uruguay,URY,76.39460976,11938.27505
United States,USA,78.54146341,48374.08679
Uzbekistan,UZB,67.86129268,1377.08214
St. Vincent and the Grenadines,VCT,72.34639024,6231.713226
"Venezuela, RB",VEN,73.67160976,13581.35338
Vietnam,VNM,74.99036585,1333.583526
Vanuatu,VUT,70.84995122,2965.75223
West Bank and Gaza,PSE,72.21492683,2338.719877
World,WLD,70.48546525,9476.457843
Samoa,WSM,72.417,3530.573994
"Yemen, Rep.",YEM,62.76873171,1310.053839
South Africa,ZAF,54.3907561,7392.868752
"Congo, Dem. Rep.",COD,56.89614634,311.247896
Zambia,ZMB,56.38385366,1456.126526
Zimbabwe,ZWE,49.57465854,674.2686954
