country,code,life,GDP
Aruba,ABW,74.95353659,24289.14152
Afghanistan,AFG,58.97082927,569.9407288
Angola,AGO,50.65417073,3886.479354
Albania,ALB,77.03695122,4094.358832
Arab World,ARB,69.8130248,5957.949586
United Arab Emirates,ARE,76.6752439,34341.91129
Argentina,ARG,75.48497561,10332.03237
Armenia,ARM,74.22634146,3124.784018
Antigua and Barbuda,ATG,75.30878049,13017.31039
Australia,AUS,81.69512195,51845.65486
Austria,AUT,80.5804878,46659.84082
Azerbaijan,AZE,70.45131707,5842.805784
Burundi,BDI,54.82919512,214.2309908
Belgium,BEL,80.18292683,44382.87977
Benin,BEN,58.72970732,732.9536227
Burkina Faso,BFA,57.05139024,574.4580893
Bangladesh,BGD,70.08029268,760.3319352
Bulgaria,BGR,73.51219512,6752.552178
Bahrain,BHR,76.12756098,20386.01756
"Bahamas, The",BHS,74.59239024,21920.51659
Bosnia and Herzegovina,BIH,75.80768293,4475.08813
Belarus,BLR,70.40487805,5818.854859
Belize,BLZ,69.78204878,4344.136669
Bermuda,BMU,79.28853659,88207.32756
Bolivia,BOL,66.4077561,1981.160105
Brazil,BRA,73.26414634,11121.42095
Barbados,BRB,74.84529268,15901.43294
Brunei Darussalam,BRN,77.59826829,31453.2244
Bhutan,BTN,67.89241463,2201.293078
Botswana,BWA,63.40229268,6244.002574
Central African Republic,CAF,47.62531707,446.8002046
Canada,CAN,81.41292683,47445.76193
Central Europe and the Baltics,CEB,75.29534873,12546.04673
Switzerland,CHE,82.24634146,74277.12051
Chile,CHL,80.27580488,12785.05187
China,CHN,75.00741463,4514.94052
Cote d'Ivoire,CIV,50.15146341,1236.085198
Cameroon,CMR,53.69482927,1147.242347
"Congo, Rep.",COG,59.14312195,2953.185008
Colombia,COL,73.27785366,6250.6545
Comoros,COM,61.8305122,739.8977906
Cabo Verde,CPV,72.59790244,3393.927492
Costa Rica,CRI,78.73604878,7985.951035
Caribbean small states,CSS,72.18459591,8699.517699
Cuba,CUB,78.93563415,5688.666732
Cyprus,CYP,79.38195122,30438.90019
Czech Republic,CZE,77.42439024,19763.9638
Germany,DEU,79.98780488,41788.04479
Djibouti,DJI,60.36068293,1358.4605
Denmark,DNK,79.1,57647.66876
Dominican Republic,DOM,72.74980488,5441.965749
Algeria,DZA,73.80404878,4473.486446
East Asia & Pacific (excluding high income),EAP,73.25832584,3982.014066
Early-demographic dividend,EAR,67.76523919,2929.830906
East Asia & Pacific,EAS,74.19414636,7563.222732
Europe & Central Asia (excluding high income),ECA,70.58648077,7650.805152
Europe & Central Asia,ECS,75.84470244,23430.87137
Ecuador,ECU,75.02980488,4657.301737
"Egypt, Arab Rep.",EGY,70.34029268,2668.035988
