station,date,min,max,rain
240,20160817,128,227,0
240,20160818,113,229,0
240,20160819,115,240,269
240,20160820,147,225,-1
240,20160821,137,203,448
240,20160822,159,218,62
240,20160823,153,270,0
240,20160824,173,304,0
240,20160825,171,309,0
240,20160826,173,242,-1
240,20160827,170,250,0
240,20160828,179,230,32
240,20160829,120,211,-1
240,20160830,109,230,0
240,20160831,111,246,0
240,20160901,129,222,0
240,20160902,126,214,1
240,20160903,163,222,39
240,20160904,161,208,35
240,20160905,135,218,8
240,20160906,144,228,0
240,20160907,141,261,0
240,20160908,144,270,0
240,20160909,127,229,0
240,20160910,131,255,0
240,20160911,161,217,2
240,20160912,179,276,0
240,20160913,182,305,0
240,20160914,185,310,0
240,20160915,168,276,1
240,20160916,152,212,14
240,20160917,143,214,0
240,20160918,148,205,0
240,20160919,131,194,0
240,20160920,111,200,0
240,20160921,103,209,0
240,20160922,104,208,0
240,20160923,94,194,0
240,20160924,100,234,0
240,20160925,116,231,-1
240,20160926,96,186,0
240,20160927,77,208,-1
240,20160928,158,210,-1
240,20160929,134,178,93
240,20160930,108,186,-1
240,20161001,89,186,41
240,20161002,96,150,187
240,20161003,121,189,43
240,20161004,103,176,0
240,20161005,73,139,0
240,20161006,53,136,0
240,20161007,110,149,0
240,20161008,64,148,-1
240,20161009,36,150,8
240,20161010,51,136,0
240,20161011,25,137,-1
240,20161012,75,111,0
240,20161013,79,108,0
240,20161014,75,124,53
240,20161015,90,142,84
240,20161016,94,190,0
240,20161017,87,167,7
240,20161018,77,129,82
240,20161019,62,131,184
240,20161020,65,130,8
240,20161021,19,141,4
240,20161022,21,104,0
240,20161023,5,120,0
240,20161024,48,92,0
240,20161025,77,102,0
240,20161026,45,134,-1
240,20161027,79,148,0
240,20161028,82,155,0
240,20161029,53,156,0
240,20161030,55,144,0
240,20161031,45,159,0
240,20161101,56,147,6
240,20161102,33,121,15
240,20161103,28,120,15
240,20161104,68,98,35
240,20161105,42,111,33
240,20161106,26,103,114
240,20161107,8,69,8
240,20161108,-24,46,24
240,20161109,6,44,34
240,20161110,25,52,187
240,20161111,-21,61,-1
240,20161112,-18,52,16
240,20161113,-3,53,17
240,20161114,-12,76,37
240,20161115,76,134,32
240,20161116,92,141,46
240,20161117,68,113,79
240,20161118,30,88,10
240,20161119,42,87,31
240,20161120,47,107,59
240,20161121,73,138,50
240,20161122,53,130,0
240,20161123,48,107,2
240,20161124,39,88,0
240,20161125,8,71,0
240,20161126,-24,73,0
240,20161127,,,
240,20161128,,,
240,20161129,,,
240,20161130,-50,96,0
