country,code,years,,intervals,frequency,,,frequency
Jamaica,JAM,75.6535122,5.13070244,,,,,
Jordan,JOR,74.05214634,4.810429268,,,,,
Japan,JPN,83.58780488,6.717560976,,,,,
Kazakhstan,KAZ,71.62,4.324,,,,,
Kenya,KEN,61.57636585,2.31527317,,,,,
Kyrgyz Republic,KGZ,70.40243902,4.080487804,,,,,
Cambodia,KHM,68.21229268,3.642458536,,,,,
Kiribati,KIR,65.95168293,3.190336586,,,,,
St. Kitts and Nevis,KNA,,-10,,,,,
"Korea, Rep.",KOR,82.15585366,6.431170732,,,,,
Kosovo,KSV,71.09756098,4.219512196,,,,,
Kuwait,KWT,74.58502439,4.917004878,,,,,
Latin America & Caribbean (excluding high income),LAC,74.71736292,4.943472584,,,,,
Lao PDR,LAO,66.11736585,3.22347317,,,,,
Lebanon,LBN,79.37309756,5.874619512,,,,,
Liberia,LBR,60.83441463,2.166882926,,,,,
Libya,LBY,71.71612195,4.34322439,,,,,
St. Lucia,LCA,75.04685366,5.009370732,,,,,
Latin America & Caribbean,LCN,74.94196452,4.988392904,,,,,
Least developed countries: UN classification,LDC,63.19044594,2.638089188,,,,,
Low income,LIC,61.27438557,2.254877114,,,,,
Liechtenstein,LIE,82.26097561,6.452195122,,,,,
Sri Lanka,LKA,74.79480488,4.958960976,,,,,
Lower middle income,LMC,67.25391713,3.450783426,,,,,
Low & middle income,LMY,69.68393989,3.936787978,,,,,
Lesotho,LSO,49.70058537,-0.059882926,,,,,
Late-demographic dividend,LTE,75.11927316,5.023854632,,,,,
Lithuania,LTU,73.96585366,4.793170732,,,,,
Luxembourg,LUX,82.20731707,6.441463414,,,,,
Latvia,LVA,74.18780488,4.837560976,,,,,
"Macao SAR, China",MAC,80.55309756,6.110619512,,,,,
St. Martin (French part),MAF,79.32195122,5.864390244,,,,,
Morocco,MAR,74.01609756,4.803219512,,,,,
Monaco,MCO,,-10,,,,,
Moldova,MDA,71.45587805,4.29117561,,,,,
Madagascar,MDG,65.08560976,3.017121952,,,,,
Maldives,MDV,76.77282927,5.354565854,,,,,
Middle East & North Africa,MEA,72.85437336,4.570874672,,,,,
Mexico,MEX,76.72185366,5.344370732,,,,,
Marshall Islands,MHL,,-10,,,,,
Middle income,MIC,70.64114397,4.128228794,,,,,
